INFO 2024-12-07 21:05:21,853 basehttp 6532 8964 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2024-12-07 21:05:21,856 basehttp 6532 1932 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2024-12-07 21:05:21,921 basehttp 6532 8964 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2024-12-07 21:05:21,921 basehttp 6532 1932 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
WARNING 2024-12-07 21:05:23,735 log 6532 4868 Not Found: /ws/security/
WARNING 2024-12-07 21:05:23,736 basehttp 6532 4868 "GET /ws/security/ HTTP/1.1" 404 3202
WARNING 2024-12-07 21:05:28,978 log 6532 8872 Not Found: /ws/security/
WARNING 2024-12-07 21:05:28,980 basehttp 6532 8872 "GET /ws/security/ HTTP/1.1" 404 3202
INFO 2024-12-07 21:05:33,600 basehttp 6532 1932 "GET /cameras/ HTTP/1.1" 302 0
INFO 2024-12-07 21:05:33,624 basehttp 6532 1932 "GET / HTTP/1.1" 200 6142
WARNING 2024-12-07 21:05:37,481 log 6532 2204 Not Found: /ws/security/
WARNING 2024-12-07 21:05:37,483 basehttp 6532 2204 "GET /ws/security/ HTTP/1.1" 404 3202
